# energy,localization
3.587909899527207402e-01,-9.074601346616205655e-01
3.661292171504476056e-01,-9.055384372184128727e-01
4.696722602250372747e-01,-8.993162777018204324e-01
4.801916982162022784e-01,-8.946624537538393485e-01
5.641412506089040768e-01,-8.769894167901134407e-01
5.802910893679861237e-01,-8.434010491739548643e-01
6.356025735961303713e-01,-7.880089153655919221e-01
8.599035625631338275e-01,-8.682784547154184240e-01
9.016368397489683550e-01,-8.478132557035360506e-01
9.161348237994596522e-01,-8.650163082391467695e-01
9.943143672458816251e-01,-8.818273494829220738e-01
1.005031736686384125e+00,-8.848250185240662535e-01
1.094506393304709446e+00,-8.949177020182611519e-01
1.102633262125546132e+00,-8.953592445693531188e-01
1.194159403659344587e+00,-9.005608005669282212e-01
1.200699151323617597e+00,-9.007475374072734242e-01
1.290779232219538386e+00,-9.038708361939985503e-01
1.296281422601517797e+00,-9.037779453210977865e-01
1.383175335251007221e+00,-9.058435760155834071e-01
1.387979965842273566e+00,-9.056013761544261520e-01
1.469097709863854018e+00,-9.072918636452774743e-01
1.476668600632606632e+00,-9.017616759788819047e-01
1.552783777814568777e+00,-9.072943465267138130e-01
1.557161510764276668e+00,-9.068963935086370443e-01
1.629136492836382510e+00,-9.092811911338399833e-01
1.632910477869229160e+00,-9.101488824990865423e-01
1.699177875419736194e+00,-9.073542252389401597e-01
1.702649767193660901e+00,-9.061143329021906778e-01
1.762667260163671035e+00,-9.084472990716696561e-01
1.765919013197701615e+00,-9.075875675211571014e-01
1.819306473876065366e+00,-9.089688328551996932e-01
1.822437923979932428e+00,-9.079793041265378228e-01
1.868918280177712887e+00,-9.095462238816651723e-01
1.871888890607531497e+00,-9.086453312506403979e-01
1.911239405976650430e+00,-9.093113882742711596e-01
1.914100379620620407e+00,-9.080473483754832875e-01
1.946106546937601323e+00,-9.094761725529371121e-01
1.948877599674534444e+00,-9.075997021552267841e-01
1.973375651314372536e+00,-9.095714147751958745e-01
1.976061395298422729e+00,-9.062727658679189391e-01
1.992934112988932194e+00,-9.096425478972397505e-01
1.995500055598190103e+00,-9.015061222349205483e-01
2.004701425343232479e+00,-9.096826242360942505e-01
2.006818741390113736e+00,-8.696712727440337742e-01
2.013168006896686624e+00,-7.358321776490935884e-01
-2.014713015934849860e+00,-9.508960260990241276e-01
-2.011437387886783057e+00,-9.082090251248563506e-01
-2.009245020655166858e+00,-9.259155648988607323e-01
-1.999746777858355085e+00,-9.081538027390707590e-01
-1.997026462717018003e+00,-9.148927882021394842e-01
-1.980318857179745429e+00,-9.080585511843300983e-01
-1.977375996202492825e+00,-9.111952044231735881e-01
-1.953238531027268410e+00,-9.079132163099745689e-01
-1.950159690111581634e+00,-9.096252869868181046e-01
-1.918624706256600865e+00,-9.077157272954257117e-01
-1.915428415221065217e+00,-9.087416287133065484e-01
-1.876633099003215843e+00,-9.079041543736153796e-01
-1.873317537986227466e+00,-9.083271087506634700e-01
-1.827483857987247884e+00,-9.069498150814354620e-01
-1.823973843686034213e+00,-9.074005598368147796e-01
-1.771317679988447358e+00,-9.069307259526895315e-01
-1.767676835273920943e+00,-9.069292726259062798e-01
-1.708489942392857674e+00,-9.075430871254744902e-01
-1.704666718598504271e+00,-9.061250345201512513e-01
-1.639330803215869325e+00,-9.019716534936336183e-01
-1.635239988307043646e+00,-9.049575904864181064e-01
-1.564490543009510848e+00,-9.007386667185711682e-01
-1.559691886913993519e+00,-9.023046874415535656e-01
-1.487024883585016832e+00,-8.936938396061038237e-01
-1.474146760070465190e+00,-9.043541177698791733e-01
-1.397328081759652729e+00,-9.002697227244480516e-01
-1.391235367642593479e+00,-9.018669794887678171e-01
-1.307166137907432413e+00,-8.976211546491628113e-01
-1.300723038783493823e+00,-8.986519417100182761e-01
-1.213890520942835005e+00,-8.930146568977247457e-01
-1.206542119520120249e+00,-8.941454962468881051e-01
-1.119373588428720145e+00,-8.846267202268501828e-01
-1.110581369654125350e+00,-8.834858709857900116e-01
-1.027621219897392857e+00,-8.704966104268581084e-01
-1.016651053971491914e+00,-8.662525267395462247e-01
-9.485785224931714277e-01,-8.502720834790766791e-01
-9.353771902441386787e-01,-8.317674306225844028e-01
-9.032192003904491173e-01,-8.621922185240261660e-01
-5.927269354643170951e-01,-7.878744215092997605e-01
-5.497067803918849194e-01,-8.365979460650241339e-01
-5.359902814363468604e-01,-8.697264126158261721e-01
-4.609483736318561453e-01,-8.877127167369783800e-01
-4.510597517793034084e-01,-8.933079442922780000e-01
-3.534822726210654076e-01,-9.024173931043725227e-01
-3.461667571629329920e-01,-9.046726273128261608e-01
-2.386315066199604373e-01,-9.080450883493667025e-01
-2.326821344805307668e-01,-9.097897964856461739e-01
-1.205210719674583986e-01,-9.103515065225816771e-01
-1.150298967594335225e-01,-9.127068140763688886e-01
-1.092577493017504384e-03,-8.648033837044492023e-01
4.428112311109910076e-03,-8.658800225023493002e-01
1.180514447255529703e-01,-9.116745085659038184e-01
1.241355146359726658e-01,-9.087228026862578245e-01
2.352497352864871549e-01,-9.093775200822528104e-01
2.426997606392113649e-01,-9.073835070413742709e-01
3.483141997208643592e-01,-9.045578785315704362e-01
3.578463589542992818e-01,-9.016607810437885506e-01
4.526027116421000862e-01,-8.936768105904228099e-01
4.655690304432435478e-01,-8.859497089161887384e-01
5.366422648052024957e-01,-8.708280012776455914e-01
5.532885035513691596e-01,-8.258712061072793764e-01
6.086272716728927668e-01,-7.185983657453969276e-01
9.039624076731473945e-01,-8.540473214902205568e-01
9.361425486713760291e-01,-8.307202415370372739e-01
9.517539409275559414e-01,-8.528626787466787595e-01
